,SENADOR,UF,PARTIDO,VOTO,file
11,Rodrigo Cunha                                                 ,AL,PODEMOS,Sim,PEC 66_2023.pdf
12,Rodrigo Pacheco                                               ,MG,PSD,Presidente (art. 51 RISF),PEC 66_2023.pdf
13,Rogério Carvalho                                              ,SE,PT,Sim,PEC 66_2023.pdf
14,Romário                                                       ,RJ,PL,Sim,PEC 66_2023.pdf
15,Rosana Martinelli                                             ,MT,PL,Sim,PEC 66_2023.pdf
16,Sergio Moro                                                   ,PR,UNIÃO,P-NRV,PEC 66_2023.pdf
17,Sérgio Petecão                                                ,AC,PSD,Sim,PEC 66_2023.pdf
18,Soraya Thronicke                                              ,MS,PODEMOS,Sim,PEC 66_2023.pdf
19,Styvenson Valentim                                            ,RN,PODEMOS,P-NRV,PEC 66_2023.pdf
20,Teresa Leitão                                                 ,PE,PT,LS,PEC 66_2023.pdf
21,Tereza Cristina                                               ,MS,PP,Sim,PEC 66_2023.pdf
22,Vanderlan Cardoso                                             ,GO,PSD,Sim,PEC 66_2023.pdf
23,Veneziano Vital do Rêgo                                       ,PB,MDB,Sim,PEC 66_2023.pdf
24,Weverton                                                      ,MA,PDT,Sim,PEC 66_2023.pdf
25,Wilder Morais                                                 ,GO,PL,Sim,PEC 66_2023.pdf
26,Zenaide Maia                                                  ,RN,PSD,Sim,PEC 66_2023.pdf
27,Zequinha Marinho                                              ,PA,PODEMOS,AP,PEC 66_2023.pdf
1,Alan Rick                                                     ,AC,UNIÃO,Sim,PEC 72_2023.pdf
2,Alessandro Vieira                                              ,SE,MDB,AP,PEC 72_2023.pdf
3,Ana Paula Lobato                                              ,MA,PSB,Sim,PEC 72_2023.pdf
4,Angelo Coronel                                                ,BA,PSD,Sim,PEC 72_2023.pdf
5,Astronauta Marcos Pontes                                       ,SP,PL,Sim,PEC 72_2023.pdf
6,Augusta Brito                                                 ,CE,PT,Sim,PEC 72_2023.pdf
7,Beto Faro                                                     ,PA,PT,Sim,PEC 72_2023.pdf
8,Carlos Portinho                                                ,RJ,PL,Sim,PEC 72_2023.pdf
9,Carlos Viana                                                  ,MG,PODEMOS,Sim,PEC 72_2023.pdf
10,Chico Rodrigues                                               ,RR,PSB,Sim,PEC 72_2023.pdf
11,Cid Gomes                                                     ,CE,PSB,Sim,PEC 72_2023.pdf
12,Ciro Nogueira                                                  ,PI,PP,Sim,PEC 72_2023.pdf
13,Cleitinho                                                     ,MG,REPUBLICANOS,Sim,PEC 72_2023.pdf
14,Confúcio Moura                                                ,RO,MDB,Sim,PEC 72_2023.pdf
15,Damares Alves                                                 ,DF,REPUBLICANOS,Sim,PEC 72_2023.pdf
16,Daniella Ribeiro                                              ,PB,PSD,Sim,PEC 72_2023.pdf
17,Davi Alcolumbre                                               ,AP,UNIÃO,Sim,PEC 72_2023.pdf
18, Hiran                                                     ,RR,PP,Sim,PEC 72_2023.pdf
19,Eduardo Braga                                                 ,AM,MDB,Sim,PEC 72_2023.pdf
20,Eduardo Girão                                                 ,CE,NOVO,Sim,PEC 72_2023.pdf
21,Eduardo Gomes                                                 ,TO,PL,Sim,PEC 72_2023.pdf
22,Efraim Filho                                                  ,PB,UNIÃO,Sim,PEC 72_2023.pdf
23,Eliziane Gama                                                 ,MA,PSD,Sim,PEC 72_2023.pdf
24,Esperidião Amin                                               ,SC,PP,Sim,PEC 72_2023.pdf
25,Fabiano Contarato                                              ,ES,PT,Sim,PEC 72_2023.pdf
26,Fernando Dueire                                                ,PE,MDB,Sim,PEC 72_2023.pdf
27,Fernando Farias                                               ,AL,MDB,AP,PEC 72_2023.pdf
1,Flávio Arns                                                    ,PR,PSB,Sim,PEC 72_2023.pdf
2,Flávio Bolsonaro                                               ,RJ,PL,Sim,PEC 72_2023.pdf
3,Giordano                                                       ,SP,MDB,P-NRV,PEC 72_2023.pdf
4,Hamilton Mourão                                                ,RS,REPUBLICANOS,Sim,PEC 72_2023.pdf
5,Humberto Costa                                                 ,PE,PT,Não,PEC 72_2023.pdf
6,Irajá                                                          ,TO,PSD,AP,PEC 72_2023.pdf
7,Ivete da Silveira                                              ,SC,MDB,Sim,PEC 72_2023.pdf
8,Izalci Lucas                                                   ,DF,PSDB,P-NRV,PEC 72_2023.pdf
9,Jader Barbalho                                                 ,PA,MDB,AP,PEC 72_2023.pdf
10,Jaime Bagattoli                                                ,RO,PL,Sim,PEC 72_2023.pdf
11,Jaques Wagner                                                  ,BA,PT,Sim,PEC 72_2023.pdf
12,Jayme Campos                                                   ,MT,UNIÃO,AP,PEC 72_2023.pdf
13,Jorge Kajuru                                                   ,GO,PSB,Sim,PEC 72_2023.pdf
14,Jorge Seif                                                     ,SC,PL,Sim,PEC 72_2023.pdf
15,Jussara Lima                                                    ,PI,PSD,Sim,PEC 72_2023.pdf
16,Laércio Oliveira                                               ,SE,PP,Sim,PEC 72_2023.pdf
17,Leila Barros                                                   ,DF,PDT,Sim,PEC 72_2023.pdf
18,Lucas Barreto                                                  ,AP,PSD,Sim,PEC 72_2023.pdf
19,Luis Carlos Heinze                                             ,RS,PP,AP,PEC 72_2023.pdf
20,Magno Malta                                                    ,ES,PL,Sim,PEC 72_2023.pdf
21,Mara Gabrilli                                                  ,SP,PSD,LS,PEC 72_2023.pdf
22,Marcelo Castro                                                  ,PI,MDB,Sim,PEC 72_2023.pdf
23,Marcio Bittar                                                  ,AC,UNIÃO,Sim,PEC 72_2023.pdf
24,Marcos do Val                                                  ,ES,PODEMOS,Sim,PEC 72_2023.pdf
25,Marcos Rogério                                                 ,RO,PL,Sim,PEC 72_2023.pdf
26,Margareth Buzetti                                              ,MT,PSD,Sim,PEC 72_2023.pdf
27,Mecias de Jesus                                                ,RR,REPUBLICANOS,Sim,PEC 72_2023.pdf
1,Nelsinho Trad                                                 ,MS,PSD,Sim,PEC 72_2023.pdf
2,Omar Aziz                                                     ,AM,PSD,P-NRV,PEC 72_2023.pdf
3,Oriovisto Guimarães                                           ,PR,PODEMOS,Não,PEC 72_2023.pdf
4,Otto Alencar                                                  ,BA,PSD,Sim,PEC 72_2023.pdf
5,Paulo Paim                                                    ,RS,PT,Sim,PEC 72_2023.pdf
6,Plínio Valério                                                ,AM,PSDB,Sim,PEC 72_2023.pdf
7,Professora Dorinha Seabra                                     ,TO,UNIÃO,Sim,PEC 72_2023.pdf
8,Randolfe Rodrigues                                            ,AP,S/Partido,Sim,PEC 72_2023.pdf
9,Renan Calheiros                                               ,AL,MDB,Sim,PEC 72_2023.pdf
10,Rodrigo Cunha                                                 ,AL,PODEMOS,Sim,PEC 72_2023.pdf
11,Rodrigo Pacheco                                               ,MG,PSD,Presidente (art. 51 RISF),PEC 72_2023.pdf
12,Rogério Carvalho                                              ,SE,PT,Sim,PEC 72_2023.pdf
13,Rogerio Marinho                                               ,RN,PL,Sim,PEC 72_2023.pdf
14,Romário                                                        ,RJ,PL,P-NRV,PEC 72_2023.pdf
15,Sergio Moro                                                   ,PR,UNIÃO,Sim,PEC 72_2023.pdf
16,Sérgio Petecão                                                ,AC,PSD,Sim,PEC 72_2023.pdf
17,Soraya Thronicke                                              ,MS,PODEMOS,Não,PEC 72_2023.pdf
18,Styvenson Valentim                                            ,RN,PODEMOS,Não,PEC 72_2023.pdf
19,Teresa Leitão                                                 ,PE,PT,Sim,PEC 72_2023.pdf
20,Tereza Cristina                                               ,MS,PP,Sim,PEC 72_2023.pdf
21,Vanderlan Cardoso                                             ,GO,PSD,Sim,PEC 72_2023.pdf
22,Veneziano Vital do Rêgo                                       ,PB,MDB,Sim,PEC 72_2023.pdf
23,Wellington Fagundes                                           ,MT,PL,Sim,PEC 72_2023.pdf
24,Weverton                                                      ,MA,PDT,Sim,PEC 72_2023.pdf
25,Wilder Morais                                                 ,GO,PL,Sim,PEC 72_2023.pdf
26,Zenaide Maia                                                  ,RN,PSD,Sim,PEC 72_2023.pdf
27,Zequinha Marinho                                              ,PA,PODEMOS,Sim,PEC 72_2023.pdf
1,Alan Rick                                                     ,AC,UNIÃO,Sim,PEC 8_2021.pdf
2,Alessandro Vieira                                              ,SE,MDB,Sim,PEC 8_2021.pdf
3,Ana Paula Lobato                                              ,MA,PSB,AP,PEC 8_2021.pdf
4,Angelo Coronel                                                ,BA,PSD,Sim,PEC 8_2021.pdf
5,Astronauta Marcos Pontes                                       ,SP,PL,Sim,PEC 8_2021.pdf
6,Augusta Brito                                                 ,CE,PT,Não,PEC 8_2021.pdf
7,Beto Faro                                                     ,PA,PT,Não,PEC 8_2021.pdf
8,Carlos Fávaro                                                 ,MT,PSD,Não,PEC 8_2021.pdf
9,Carlos Portinho                                                ,RJ,PL,Sim,PEC 8_2021.pdf
10,Carlos Viana                                                  ,MG,PODEMOS,Sim,PEC 8_2021.pdf
11,Chico Rodrigues                                               ,RR,PSB,Sim,PEC 8_2021.pdf
12,Cid Gomes                                                     ,CE,PDT,P-NRV,PEC 8_2021.pdf
13,Ciro Nogueira                                                  ,PI,PP,Sim,PEC 8_2021.pdf
14,Cleitinho                                                     ,MG,REPUBLICANOS,Sim,PEC 8_2021.pdf
15,Confúcio Moura                                                ,RO,MDB,Não,PEC 8_2021.pdf
16,Damares Alves                                                 ,DF,REPUBLICANOS,Sim,PEC 8_2021.pdf
17,Daniella Ribeiro                                              ,PB,PSD,Sim,PEC 8_2021.pdf
18,Davi Alcolumbre                                               ,AP,UNIÃO,Sim,PEC 8_2021.pdf
19, Hiran                                                     ,RR,PP,Sim,PEC 8_2021.pdf
20,Eduardo Braga                                                 ,AM,MDB,AP,PEC 8_2021.pdf
21,Eduardo Girão                                                 ,CE,NOVO,Sim,PEC 8_2021.pdf
22,Eduardo Gomes                                                 ,TO,PL,Sim,PEC 8_2021.pdf
23,Efraim Filho                                                  ,PB,UNIÃO,Sim,PEC 8_2021.pdf
24,Eliziane Gama                                                 ,MA,PSD,Não,PEC 8_2021.pdf
25,Esperidião Amin                                               ,SC,PP,Sim,PEC 8_2021.pdf
26,Fabiano Contarato                                              ,ES,PT,Não,PEC 8_2021.pdf
27,Fernando Dueire                                                ,PE,MDB,Sim,PEC 8_2021.pdf
1,Fernando Farias                                                ,AL,MDB,Não,PEC 8_2021.pdf
2,Flávio Arns                                                    ,PR,PSB,Sim,PEC 8_2021.pdf
3,Flávio Bolsonaro                                               ,RJ,PL,Sim,PEC 8_2021.pdf
4,Giordano                                                       ,SP,MDB,Sim,PEC 8_2021.pdf
5,Hamilton Mourão                                                ,RS,REPUBLICANOS,Sim,PEC 8_2021.pdf
6,Humberto Costa                                                 ,PE,PT,Não,PEC 8_2021.pdf
7,Irajá                                                          ,TO,PSD,AP,PEC 8_2021.pdf
8,Ivete da Silveira                                              ,SC,MDB,Sim,PEC 8_2021.pdf
9,Izalci Lucas                                                   ,DF,PSDB,Sim,PEC 8_2021.pdf
10,Jader Barbalho                                                 ,PA,MDB,AP,PEC 8_2021.pdf
11,Jaime Bagattoli                                                ,RO,PL,Sim,PEC 8_2021.pdf
12,Jaques Wagner                                                  ,BA,PT,Sim,PEC 8_2021.pdf
13,Jayme Campos                                                   ,MT,UNIÃO,Sim,PEC 8_2021.pdf
14,Jorge Kajuru                                                   ,GO,PSB,Não,PEC 8_2021.pdf
15,Jorge Seif                                                     ,SC,PL,Sim,PEC 8_2021.pdf
16,Jussara Lima                                                    ,PI,PSD,Não,PEC 8_2021.pdf
17,Laércio Oliveira                                               ,SE,PP,Sim,PEC 8_2021.pdf
18,Leila Barros                                                   ,DF,PDT,Não,PEC 8_2021.pdf
19,Lucas Barreto                                                  ,AP,PSD,Sim,PEC 8_2021.pdf
20,Luis Carlos Heinze                                             ,RS,PP,Sim,PEC 8_2021.pdf
21,Magno Malta                                                    ,ES,PL,Sim,PEC 8_2021.pdf
22,Mara Gabrilli                                                  ,SP,PSD,Sim,PEC 8_2021.pdf
23,Marcelo Castro                                                  ,PI,MDB,Não,PEC 8_2021.pdf
24,Marcio Bittar                                                  ,AC,UNIÃO,Sim,PEC 8_2021.pdf
25,Marcos do Val                                                  ,ES,PODEMOS,Sim,PEC 8_2021.pdf
26,Marcos Rogério                                                 ,RO,PL,Sim,PEC 8_2021.pdf
27,Mecias de Jesus                                                ,RR,REPUBLICANOS,LP,PEC 8_2021.pdf
1,Nelsinho Trad                                                 ,MS,PSD,Sim,PEC 8_2021.pdf
2,Omar Aziz                                                     ,AM,PSD,P-NRV,PEC 8_2021.pdf
3,Oriovisto Guimarães                                           ,PR,PODEMOS,Sim,PEC 8_2021.pdf
4,Otto Alencar                                                  ,BA,PSD,Sim,PEC 8_2021.pdf
5,Paulo Paim                                                    ,RS,PT,Não,PEC 8_2021.pdf
6,Plínio Valério                                                ,AM,PSDB,Sim,PEC 8_2021.pdf
7,Professora Dorinha Seabra                                     ,TO,UNIÃO,Sim,PEC 8_2021.pdf
8,Randolfe Rodrigues                                            ,AP,REDE,Não,PEC 8_2021.pdf
9,Renan Calheiros                                               ,AL,MDB,LS,PEC 8_2021.pdf
10,Rodrigo Cunha                                                 ,AL,PODEMOS,Sim,PEC 8_2021.pdf
11,Rodrigo Pacheco                                               ,MG,PSD,Presidente (art. 51 RISF),PEC 8_2021.pdf
12,Rogério Carvalho                                              ,SE,PT,Não,PEC 8_2021.pdf
13,Rogerio Marinho                                               ,RN,PL,Sim,PEC 8_2021.pdf
14,Romário                                                        ,RJ,PL,Não,PEC 8_2021.pdf
15,Sergio Moro                                                   ,PR,UNIÃO,Sim,PEC 8_2021.pdf
16,Sérgio Petecão                                                ,AC,PSD,LS,PEC 8_2021.pdf
17,Soraya Thronicke                                              ,MS,PODEMOS,Sim,PEC 8_2021.pdf
18,Styvenson Valentim                                            ,RN,PODEMOS,Sim,PEC 8_2021.pdf
19,Teresa Leitão                                                 ,PE,PT,Não,PEC 8_2021.pdf
20,Tereza Cristina                                               ,MS,PP,Sim,PEC 8_2021.pdf
21,Vanderlan Cardoso                                             ,GO,PSD,Sim,PEC 8_2021.pdf
22,Veneziano Vital do Rêgo                                       ,PB,MDB,AP,PEC 8_2021.pdf
23,Wellington Fagundes                                           ,MT,PL,Sim,PEC 8_2021.pdf
24,Weverton                                                      ,MA,PDT,Sim,PEC 8_2021.pdf
25,Wilder Morais                                                 ,GO,PL,Sim,PEC 8_2021.pdf
26,Zenaide Maia                                                  ,RN,PSD,Não,PEC 8_2021.pdf
27,Zequinha Marinho                                              ,PA,PODEMOS,Sim,PEC 8_2021.pdf
1,Acir Gurgacz                                                   ,RO,PDT,Sim,PEC 9_2022.pdf
2,Alessandro Vieira                                              ,SE,PSDB,Sim,PEC 9_2022.pdf
3,Alexandre Silveira                                             ,MG,PSD,Sim,PEC 9_2022.pdf
4,Alvaro Dias                                                    ,PR,PODEMOS,Sim,PEC 9_2022.pdf
5,Angelo Coronel                                                 ,BA,PSD,Sim,PEC 9_2022.pdf
6,Carlos Fávaro                                                  ,MT,PSD,Sim,PEC 9_2022.pdf
7,Carlos Portinho                                                 ,RJ,PL,Sim,PEC 9_2022.pdf
8,Carlos Viana                                                   ,MG,PL,Sim,PEC 9_2022.pdf
9,Chico Rodrigues                                                ,RR,UNIÃO,Sim,PEC 9_2022.pdf
10,Cid Gomes                                                      ,CE,PDT,Sim,PEC 9_2022.pdf
11,Confúcio Moura                                                 ,RO,MDB,Sim,PEC 9_2022.pdf
12,Daniella Ribeiro                                               ,PB,PSD,Sim,PEC 9_2022.pdf
13,Dário Berger                                                   ,SC,PSB,Sim,PEC 9_2022.pdf
14,Davi Alcolumbre                                                ,AP,UNIÃO,Sim,PEC 9_2022.pdf
15,Eduardo Braga                                                  ,AM,MDB,Sim,PEC 9_2022.pdf
16,Eduardo Girão                                                  ,CE,PODEMOS,Sim,PEC 9_2022.pdf
17,Eduardo Gomes                                                  ,TO,PL,Sim,PEC 9_2022.pdf
18,Eliane Nogueira                                                 ,PI,PP,Sim,PEC 9_2022.pdf
19,Eliziane Gama                                                  ,MA,CIDADANIA,Sim,PEC 9_2022.pdf
20,Elmano Férrer                                                   ,PI,PP,Sim,PEC 9_2022.pdf
21,Esperidião Amin                                                ,SC,PP,Sim,PEC 9_2022.pdf
22,Fabiano Contarato                                              ,ES,PT,Sim,PEC 9_2022.pdf
23,Fabio Garcia                                                   ,MT,UNIÃO,Sim,PEC 9_2022.pdf
24,Fernando Bezerra Coelho                                        ,PE,MDB,Sim,PEC 9_2022.pdf
25,Fernando Collor                                                ,AL,PTB,Sim,PEC 9_2022.pdf
26,Flávio Arns                                                    ,PR,PODEMOS,Sim,PEC 9_2022.pdf
27,Flávio Bolsonaro                                                ,RJ,PL,Sim,PEC 9_2022.pdf
1,Giordano                                                        ,SP,MDB,Sim,PEC 9_2022.pdf
2,Humberto Costa                                                  ,PE,PT,Sim,PEC 9_2022.pdf
3,Irajá                                                          ,TO,PSD,AP,PEC 9_2022.pdf
4,Izalci Lucas                                                   ,DF,PSDB,Sim,PEC 9_2022.pdf
5,Jader Barbalho                                                 ,PA,MDB,AP,PEC 9_2022.pdf
6,Jaques Wagner                                                  ,BA,PT,Sim,PEC 9_2022.pdf
7,Jarbas Vasconcelos                                              ,PE,MDB,Sim,PEC 9_2022.pdf
8,Paul Prates                                               ,RN,PT,Sim,PEC 9_2022.pdf
9,Jorge Kajuru                                                   ,GO,PODEMOS,Sim,PEC 9_2022.pdf
10,Jorginho Mello                                                 ,SC,PL,Sim,PEC 9_2022.pdf
11,José Serra                                                      ,SP,PSDB,Sim,PEC 9_2022.pdf
12,Kátia Abreu                                                    ,TO,PP,Sim,PEC 9_2022.pdf
13,Lasier Martins                                                 ,RS,PODEMOS,Sim,PEC 9_2022.pdf
14,Leila Barros                                                   ,DF,PDT,Sim,PEC 9_2022.pdf
15,Lucas Barreto                                                  ,AP,PSD,Sim,PEC 9_2022.pdf
16,Luis Carlos Heinze                                             ,RS,PP,Sim,PEC 9_2022.pdf
17,Luiz Carlos do Carmo                                           ,GO,PSC,Sim,PEC 9_2022.pdf
18,Mailza Gomes                                                   ,AC,PP,Sim,PEC 9_2022.pdf
19,Mara Gabrilli                                                   ,SP,PSDB,Sim,PEC 9_2022.pdf
20,Marcelo Castro                                                  ,PI,MDB,Sim,PEC 9_2022.pdf
21,Marcio Bittar                                                  ,AC,UNIÃO,P-NRV,PEC 9_2022.pdf
22,Marcos do Val                                                   ,ES,PODEMOS,Sim,PEC 9_2022.pdf
23,Marcos Rogério                                                 ,RO,PL,AP,PEC 9_2022.pdf
24,Maria do Carmo Alves                                            ,SE,PP,Sim,PEC 9_2022.pdf
25,Mecias de Jesus                                                ,RR,REPUBLICANOS,Sim,PEC 9_2022.pdf
26,Nelsinho Trad                                                  ,MS,PSD,Sim,PEC 9_2022.pdf
27,Nilda Gondim                                                   ,PB,MDB,Sim,PEC 9_2022.pdf
1,Omar Aziz                                                      ,AM,PSD,Sim,PEC 9_2022.pdf
2,Oriovisto Guimarães                                            ,PR,PODEMOS,Sim,PEC 9_2022.pdf
3,Otto Alencar                                                   ,BA,PSD,Sim,PEC 9_2022.pdf
4,Paulo Paim                                                     ,RS,PT,Sim,PEC 9_2022.pdf
5,Paulo Rocha                                                    ,PA,PT,Sim,PEC 9_2022.pdf
6,Plínio Valério                                                 ,AM,PSDB,Sim,PEC 9_2022.pdf
7,Randolfe Rodrigues                                             ,AP,REDE,Sim,PEC 9_2022.pdf
8,Reguffe                                                        ,DF,UNIÃO,Sim,PEC 9_2022.pdf
9,Renan Calheiros                                                ,AL,MDB,Sim,PEC 9_2022.pdf
10,Roberto Rocha                                                  ,MA,PTB,Sim,PEC 9_2022.pdf
11,Rodrigo Cunha                                                  ,AL,UNIÃO,Sim,PEC 9_2022.pdf
12,Rodrigo Pacheco                                                ,MG,PSD,Sim,PEC 9_2022.pdf
13,Rogério Carvalho                                               ,SE,PT,Sim,PEC 9_2022.pdf
14,Romário                                                        ,RJ,PL,Sim,PEC 9_2022.pdf
15,Rose de Freitas                                                ,ES,MDB,Sim,PEC 9_2022.pdf
16,Sérgio Petecão                                                 ,AC,PSD,Sim,PEC 9_2022.pdf
17,Simone Tebet                                                   ,MS,MDB,Sim,PEC 9_2022.pdf
18,Soraya Thronicke                                               ,MS,UNIÃO,Sim,PEC 9_2022.pdf
19,Styvenson Valentim                                             ,RN,PODEMOS,Sim,PEC 9_2022.pdf
20,Tasso Jereissati                                               ,CE,PSDB,LP,PEC 9_2022.pdf
21,Telmário Mota                                                  ,RR,PROS,Sim,PEC 9_2022.pdf
22,Vanderlan Cardoso                                              ,GO,PSD,Sim,PEC 9_2022.pdf
23,Veneziano Vital do Rêgo                                        ,PB,MDB,Presidente (art. 51 RISF),PEC 9_2022.pdf
24,Wellington Fagundes                                            ,MT,PL,Sim,PEC 9_2022.pdf
25,Weverton                                                       ,MA,PDT,Sim,PEC 9_2022.pdf
26,Zenaide Maia                                                   ,RN,PROS,Sim,PEC 9_2022.pdf
27,Zequinha Marinho                                               ,PA,PL,AP,PEC 9_2022.pdf
0,      ,PL,1166/2020,Ementa:         Estabelece teto de 20% ao ano para todas as modalidades de crédito ofertadas por,PL 1166_2020.pdf
2,Acir Gurgacz                                                  ,RO,PDT,Sim,PL 1166_2020.pdf
3,Alessandro Vieira                                              ,SE,CIDADANIA,Sim,PL 1166_2020.pdf
4,Alvaro Dias                                                    ,PR,PODEMOS,Não,PL 1166_2020.pdf
5,Angelo Coronel                                                ,BA,PSD,Sim,PL 1166_2020.pdf
6,Antonio Anastasia                                             ,MG,PSD,Não,PL 1166_2020.pdf
7,Arolde de Oliveira                                             ,RJ,PSD,Não,PL 1166_2020.pdf
8,Carlos Fávaro                                                 ,MT,PSD,Não,PL 1166_2020.pdf
9,Carlos Viana                                                  ,MG,PSD,Abstenção,PL 1166_2020.pdf
10,Chico Rodrigues                                               ,RR,DEM,Não,PL 1166_2020.pdf
11,Cid Gomes                                                      ,CE,PDT,Sim,PL 1166_2020.pdf
12,Ciro Nogueira                                                  ,PI,PP,Não,PL 1166_2020.pdf
13,Confúcio Moura                                                ,RO,MDB,Sim,PL 1166_2020.pdf
14,Daniella Ribeiro                                               ,PB,PP,Não,PL 1166_2020.pdf
15,Dário Berger                                                   ,SC,MDB,Não,PL 1166_2020.pdf
16,Davi Alcolumbre                                                ,AP,DEM,AP,PL 1166_2020.pdf
17,Eduardo Braga                                                 ,AM,MDB,Sim,PL 1166_2020.pdf
18,Eduardo Girão                                                  ,CE,PODEMOS,Sim,PL 1166_2020.pdf
19,Eduardo Gomes                                                 ,TO,MDB,Presidente (art. 51 RISF),PL 1166_2020.pdf
20,Eliziane Gama                                                 ,MA,CIDADANIA,P-NRV,PL 1166_2020.pdf
21,Elmano Férrer                                                  ,PI,PODEMOS,Não,PL 1166_2020.pdf
22,Esperidião Amin                                                ,SC,PP,Sim,PL 1166_2020.pdf
23,Fabiano Contarato                                              ,ES,REDE,Sim,PL 1166_2020.pdf
24,Fernando Bezerra Coelho                                        ,PE,MDB,Não,PL 1166_2020.pdf
25,Fernando Collor                                               ,AL,PROS,Sim,PL 1166_2020.pdf
26,Flávio Arns                                                    ,PR,REDE,Não,PL 1166_2020.pdf
27,Flávio Bolsonaro                                               ,RJ,S/Partido,Não,PL 1166_2020.pdf
28,Humberto Costa                                                 ,PE,PT,Sim,PL 1166_2020.pdf
0,      ,PL,1166/2020,Ementa:         Estabelece teto de 20% ao ano para todas as modalidades de crédito ofertadas por,PL 1166_2020.pdf
2,Irajá                                                          ,TO,PSD,Sim,PL 1166_2020.pdf
3,Izalci Lucas                                                   ,DF,PSDB,Não,PL 1166_2020.pdf
4,Jader Barbalho                                                 ,PA,MDB,Sim,PL 1166_2020.pdf
5,Jaques Wagner                                                  ,BA,PT,Sim,PL 1166_2020.pdf
6,Jarbas Vasconcelos                                             ,PE,MDB,Sim,PL 1166_2020.pdf
7,Jayme Campos                                                  ,MT,DEM,Sim,PL 1166_2020.pdf
8,Paul Prates                                               ,RN,PT,Sim,PL 1166_2020.pdf
9,Jorge Kajuru                                                   ,GO,CIDADANIA,Sim,PL 1166_2020.pdf
10,Jorginho Mello                                                 ,SC,PL,Não,PL 1166_2020.pdf
11,José Maranhão                                                  ,PB,MDB,Sim,PL 1166_2020.pdf
12,José Serra                                                     ,SP,PSDB,Não,PL 1166_2020.pdf
13,Kátia Abreu                                                    ,TO,PP,Sim,PL 1166_2020.pdf
14,Lasier Martins                                                 ,RS,PODEMOS,Não,PL 1166_2020.pdf
15,Leila Barros                                                   ,DF,PSB,Sim,PL 1166_2020.pdf
16,Lucas Barreto                                                  ,AP,PSD,Sim,PL 1166_2020.pdf
17,Luis Carlos Heinze                                             ,RS,PP,Não,PL 1166_2020.pdf
18,Luiz Carlos do Carmo                                           ,GO,MDB,Sim,PL 1166_2020.pdf
19,Mailza Gomes                                                   ,AC,PP,Sim,PL 1166_2020.pdf
20,Major Olimpio                                                  ,SP,PSL,P-NRV,PL 1166_2020.pdf
21,Mara Gabrilli                                                  ,SP,PSDB,LS,PL 1166_2020.pdf
22,Marcelo Castro                                                 ,PI,MDB,Sim,PL 1166_2020.pdf
23,Marcio Bittar                                                  ,AC,MDB,Não,PL 1166_2020.pdf
24,Marcos do Val                                                  ,ES,PODEMOS,Sim,PL 1166_2020.pdf
25,Marcos Rogério                                                 ,RO,DEM,Sim,PL 1166_2020.pdf
26,Maria do Carmo Alves                                           ,SE,DEM,Sim,PL 1166_2020.pdf
27,Mecias de Jesus                                                ,RR,REPUBLICANOS,Não,PL 1166_2020.pdf
28,Nelsinho Trad                                                  ,MS,PSD,Sim,PL 1166_2020.pdf
0,      ,PL,1166/2020,Ementa:         Estabelece teto de 20% ao ano para todas as modalidades de crédito ofertadas por,PL 1166_2020.pdf
2,Omar Aziz                                                     ,AM,PSD,Sim,PL 1166_2020.pdf
3,Oriovisto Guimarães                                           ,PR,PODEMOS,Sim,PL 1166_2020.pdf
4,Otto Alencar                                                  ,BA,PSD,Sim,PL 1166_2020.pdf
5,Paulo Paim                                                    ,RS,PT,Sim,PL 1166_2020.pdf
6,Paulo Rocha                                                   ,PA,PT,Sim,PL 1166_2020.pdf
7,Plínio Valério                                                ,AM,PSDB,Não,PL 1166_2020.pdf
8,Randolfe Rodrigues                                            ,AP,REDE,Sim,PL 1166_2020.pdf
9,Reguffe                                                       ,DF,PODEMOS,Sim,PL 1166_2020.pdf
10,Renan Calheiros                                               ,AL,MDB,Sim,PL 1166_2020.pdf
11,Roberto Rocha                                                 ,MA,PSDB,Sim,PL 1166_2020.pdf
12,Rodrigo Cunha                                                 ,AL,PSDB,Sim,PL 1166_2020.pdf
13,Rodrigo Pacheco                                               ,MG,DEM,Sim,PL 1166_2020.pdf
14,Rogério Carvalho                                              ,SE,PT,Sim,PL 1166_2020.pdf
15,Romário                                                        ,RJ,PODEMOS,Sim,PL 1166_2020.pdf
16,Rose de Freitas                                               ,ES,PODEMOS,Sim,PL 1166_2020.pdf
17,Sérgio Petecão                                                ,AC,PSD,AP,PL 1166_2020.pdf
18,Simone Tebet                                                  ,MS,MDB,Sim,PL 1166_2020.pdf
19,Soraya Thronicke                                              ,MS,PSL,Não,PL 1166_2020.pdf
20,Styvenson Valentim                                            ,RN,PODEMOS,Sim,PL 1166_2020.pdf
21,Tasso Jereissati                                              ,CE,PSDB,Não,PL 1166_2020.pdf
22,Telmário Mota                                                 ,RR,PROS,AP,PL 1166_2020.pdf
23,Vanderlan Cardoso                                             ,GO,PSD,Sim,PL 1166_2020.pdf
24,Veneziano Vital do Rêgo                                       ,PB,PSB,Sim,PL 1166_2020.pdf
25,Wellington Fagundes                                           ,MT,PL,Sim,PL 1166_2020.pdf
26,Weverton                                                      ,MA,PDT,Sim,PL 1166_2020.pdf
27,Zenaide Maia                                                  ,RN,PROS,Sim,PL 1166_2020.pdf
28,Zequinha Marinho                                              ,PA,PSC,Sim,PL 1166_2020.pdf
